start_date,cols
1961-06-01,CBI
1961-06-01,CBIC1
1961-06-01,CE16OV
1961-06-01,CLF16OV
1961-06-01,COE
1961-06-01,CURRDD
1961-06-01,CURRSL
1961-06-01,DEMDEPSL
1961-06-01,DPI
1961-06-01,GCE
1961-06-01,GCEC1
1961-06-01,GNP
1961-06-01,GNPC96
1961-06-01,GPDI
1961-06-01,GPDIC1
1961-06-01,PAYEMS
1961-06-01,PCDG
1961-06-01,PCDGCC96
1961-06-01,PCEC
1961-06-01,PCECC96
1961-06-01,PCESV
1961-06-01,PCESVC96
1961-06-01,PCND
1961-06-01,PCNDGC96
1961-06-01,PINCOME
1961-06-01,PSAVE
1961-06-01,UNEMPLOY
1961-06-01,UNRATE
1961-06-01,WASCUR
1980-01-01,ATNHPIUS16984Q
1980-01-01,ATNHPIUS19430Q
1980-01-01,ATNHPIUS23224Q
1980-01-01,ATNHPIUS35154Q
1980-01-01,AWHMAN
1980-01-01,AWHNONAG
1980-01-01,AWOTMAN
1980-01-01,BOGZ1FA106300075Q
1980-01-01,BOGZ1FL782100005Q
1980-01-01,BOGZ1FU106300075Q
1980-01-01,CBI
1980-01-01,CBIC1
1980-01-01,CCFC
1980-01-01,CE16OV
1980-01-01,CIVA
1980-01-01,CLF16OV
1980-01-01,COE
1980-01-01,CP
1980-01-01,CPROFIT
1980-01-01,CURRDD
1980-01-01,CURRSL
1980-01-01,DCBCCA
1980-01-01,DEMDEPSL
1980-01-01,DIVIDEND
1980-01-01,DMANEMP
1980-01-01,DPI
1980-01-01,DPIC96
1980-01-01,FDEFX
1980-01-01,FGCE
1980-01-01,FGCEC1
1980-01-01,FGDEF
1980-01-01,FGEXPND
1980-01-01,FGRECPT
1980-01-01,FGSL
1980-01-01,FINSAL
1980-01-01,FINSLC1
1980-01-01,FNDEFX
1980-01-01,FPI
1980-01-01,FPIC1
1980-01-01,GCE
1980-01-01,GCEC1
1980-01-01,GNP
1980-01-01,GNPC96
1980-01-01,GNPDEF
1980-01-01,GPDI
1980-01-01,GPDIC1
1980-01-01,GSAVE
1980-01-01,MANEMP
1980-01-01,NDMANEMP
1980-01-01,NFCPATAX
1980-01-01,NICUR
1980-01-01,OPHNFB
1980-01-01,OPHPBS
1980-01-01,PAYEMS
1980-01-01,PCDG
1980-01-01,PCDGCC96
1980-01-01,PCE
1980-01-01,PCEC
1980-01-01,PCECC96
1980-01-01,PCEDG
1980-01-01,PCEND
1980-01-01,PCES
1980-01-01,PCESV
1980-01-01,PCESVC96
1980-01-01,PCND
1980-01-01,PCNDGC96
1980-01-01,PI
1980-01-01,PINCOME
1980-01-01,PNFI
1980-01-01,PNFIC1
1980-01-01,PRFI
1980-01-01,PRFIC1
1980-01-01,PROPINC
1980-01-01,PSAVE
